Group1,Route_ID,Route_Stop_ID,Vehicle_Name,Vehicle_Arrival_Time_Client,Vehicle_Departure_Time_Client,Scheduled_Departure_Time_Client1
1-Jun,1) Cypress AM,East Market,,,,6/1/2015 6:00
1-Jun,1) Cypress AM,The Arbors,CYPRESS,6/1/2015 6:02,6/1/2015 6:03,6/1/2015 6:04
1-Jun,1) Cypress AM,Windsor Apts,CYPRESS,6/1/2015 6:08,6/1/2015 6:08,6/1/2015 6:08
1-Jun,1) Cypress AM,Camden Apts,CYPRESS,6/1/2015 6:08,6/1/2015 6:09,6/1/2015 6:09
1-Jun,1) Cypress AM,Vienna Metro,CYPRESS,6/1/2015 6:21,6/1/2015 6:30,6/1/2015 6:30
1-Jun,1) Cypress AM,SRA,CYPRESS,6/1/2015 6:41,6/1/2015 6:42,6/1/2015 6:43
1-Jun,1) Cypress AM,Ellucian AFCEA,CYPRESS,6/1/2015 6:42,6/1/2015 6:43,6/1/2015 6:44
1-Jun,1) Cypress AM,Fair Lakes II,CYPRESS,6/1/2015 6:45,6/1/2015 6:46,6/1/2015 6:46
1-Jun,1) Cypress AM,Fair Lakes I,CYPRESS,6/1/2015 6:46,6/1/2015 6:47,6/1/2015 6:47
1-Jun,1) Cypress AM,CGI,CYPRESS,6/1/2015 6:48,6/1/2015 6:48,6/1/2015 6:49
1-Jun,1) Cypress AM,Avaya,,,,6/1/2015 6:51
1-Jun,1) Cypress AM,Parkway Woods,CYPRESS,6/1/2015 6:52,6/1/2015 6:54,6/1/2015 6:55
1-Jun,1) Cypress AM,The Gates,CYPRESS,6/1/2015 6:54,6/1/2015 6:57,6/1/2015 6:57
1-Jun,1) Cypress AM,Northrup Grumman,CYPRESS,6/1/2015 6:58,6/1/2015 6:59,6/1/2015 6:59
1-Jun,1) Cypress AM,Eaves Apts,CYPRESS,6/1/2015 7:02,6/1/2015 7:03,6/1/2015 7:02
1-Jun,1) Cypress AM,Hyatt,CYPRESS,6/1/2015 7:06,6/1/2015 7:07,6/1/2015 7:07
1-Jun,1) Cypress AM,Argon Plaza,CYPRESS,6/1/2015 7:08,6/1/2015 7:08,6/1/2015 7:08
1-Jun,1) Cypress AM,East Market,CYPRESS,6/1/2015 7:10,6/1/2015 7:12,6/1/2015 7:12
1-Jun,1) Cypress AM,The Arbors,CYPRESS,6/1/2015 7:14,6/1/2015 7:15,6/1/2015 7:15
1-Jun,1) Cypress AM,Windsor Apts,CYPRESS,6/1/2015 7:20,6/1/2015 7:21,6/1/2015 7:19
1-Jun,1) Cypress AM,Camden Apts,CYPRESS,6/1/2015 7:21,6/1/2015 7:21,6/1/2015 7:20
1-Jun,1) Cypress AM,Vienna Metro,CYPRESS,6/1/2015 7:41,6/1/2015 7:45,6/1/2015 7:45
1-Jun,1) Cypress AM,SRA,CYPRESS,6/1/2015 7:58,6/1/2015 7:59,6/1/2015 7:58
1-Jun,1) Cypress AM,Ellucian AFCEA,CYPRESS,6/1/2015 7:59,6/1/2015 7:59,6/1/2015 7:59
1-Jun,1) Cypress AM,Fair Lakes II,CYPRESS,6/1/2015 8:01,6/1/2015 8:02,6/1/2015 8:01
1-Jun,1) Cypress AM,Fair Lakes I,CYPRESS,6/1/2015 8:03,6/1/2015 8:03,6/1/2015 8:02
1-Jun,1) Cypress AM,CGI,CYPRESS,6/1/2015 8:04,6/1/2015 8:04,6/1/2015 8:04
1-Jun,1) Cypress AM,Avaya,,,,6/1/2015 8:06
1-Jun,1) Cypress AM,Parkway Woods,CYPRESS,6/1/2015 8:09,6/1/2015 8:09,6/1/2015 8:10
1-Jun,1) Cypress AM,The Gates,CYPRESS,6/1/2015 8:10,6/1/2015 8:12,6/1/2015 8:12
1-Jun,1) Cypress AM,Northrup Grumman,CYPRESS,6/1/2015 8:13,6/1/2015 8:14,6/1/2015 8:14
1-Jun,1) Cypress AM,Eaves Apts,CYPRESS,6/1/2015 8:16,6/1/2015 8:18,6/1/2015 8:17
1-Jun,1) Cypress AM,Hyatt,CYPRESS,6/1/2015 8:21,6/1/2015 8:22,6/1/2015 8:22
1-Jun,1) Cypress AM,Argon Plaza,CYPRESS,6/1/2015 8:23,6/1/2015 8:23,6/1/2015 8:23
1-Jun,1) Cypress AM,East Market,CYPRESS,6/1/2015 8:25,6/1/2015 8:27,6/1/2015 8:27
1-Jun,1) Cypress AM,The Arbors,CYPRESS,6/1/2015 8:28,6/1/2015 8:30,6/1/2015 8:30
1-Jun,1) Cypress AM,Windsor Apts,CYPRESS,6/1/2015 8:35,6/1/2015 8:35,6/1/2015 8:34
1-Jun,1) Cypress AM,Camden Apts,CYPRESS,6/1/2015 8:35,6/1/2015 8:35,6/1/2015 8:35
